date,negative,neutral,positive
2024-10-22,0,1,0
2024-10-23,0,1,0
2024-10-25,0,1,0
2024-10-28,0,1,0
2024-10-29,0,1,0
2024-11-06,0,1,0
2025-01-29,0,1,0
2025-05-06,0,5,0
2025-06-15,0,1,0
2025-07-07,0,1,0
2025-07-20,0,1,0
2025-08-15,0,87,1
2025-08-16,0,81,2
2025-08-17,0,30,0
2025-08-18,0,34,1
2025-08-19,0,19,0
2025-08-20,0,9,0
2025-08-21,0,5,0
2025-08-22,0,13,0
2025-08-23,0,76,0
2025-08-24,0,32,1
2025-08-25,0,23,0
2025-08-26,0,15,0
2025-08-27,0,23,0
2025-08-28,0,22,0
2025-08-29,0,9,0
2025-08-30,0,4,0
2025-08-31,0,42,0
2025-09-01,0,11,0
2025-09-02,0,3,0
2025-09-03,0,2,0
2025-09-04,0,2,0
2025-09-05,0,3,0
2025-09-06,0,2,0
2025-09-07,0,1,0
2025-09-12,0,184,10
2025-09-13,0,261,3
2025-09-14,3,91,4
2025-09-15,0,34,6
2025-09-16,0,17,3
2025-09-17,0,9,0
2025-09-18,0,6,0
2025-09-19,0,73,4
2025-09-20,2,510,19
2025-09-21,11,1320,78
2025-09-22,0,1573,85
2025-09-23,21,4262,369
2025-09-24,21,3168,290
2025-09-25,32,3080,304
2025-09-26,3,1536,155
2025-09-27,12,1394,95
2025-09-28,15,1421,106
2025-09-29,16,1413,125
2025-09-30,6,817,96
2025-10-01,2,407,43
2025-10-02,5,316,22
2025-10-03,1,152,3
2025-10-04,2,270,37
2025-10-05,1,320,37
